Data;Melhorias e Implementações
2026-07-12;"Recurso: permitir ao líder editar dados do time (nome, cidade e logo)"
2026-07-12;"Recurso: adicione votação MVP, operações de correspondência e validações de sumula"
2026-07-01;"Adicionar aviso de 4ª e 5ª falta na súmula de futsal"
2026-06-17;"Recurso(championship): adicionar opção para definir contagem de rodadas personalizadas e visualizar jogos por rodada antes de gerar"
2026-06-15;"Recurso(championship): remova a opção de formato de eliminação dupla e melhore as explicações de formato"
2026-06-15;"Recurso(team): remova o capitão global padrão do TeamForm para impor liderança baseada no contexto"
2026-06-02;"Recurso(voice): melhorar a correspondência de jogadores de sumula de voz de basquete e identificação de equipe"
2026-06-02;"Recurso: permitir copiar elenco de outros campeonatos com pré-visualização de jogadores"
2026-05-28;"Recurso: use a coluna do banco de dados sport.category_type no frontend do React para uma classificação esportiva de tempo robusta"
2026-05-28;"Recurso: filtrar dinamicamente esportes e campeonatos dentro do ArtEditor com base no modo escolhido"
2026-05-27;"Recurso: restaurar listagem e marcação de voltas por atleta com filtro de equipes nos temporizadores"
2026-05-26;"configurações adicionar"
2026-05-26;"Recurso: melhorias no sistema esportivo de tempo/voltas e correções na súmula de basquete por voz"
2026-05-25;"Recurso: alinhe o cronômetro da súmula de futsal e a lógica de final de partida com o futebol 7"
2026-05-25;"Recurso: implementar resultados públicos de revezamento da equipe, melhores estatísticas de volta, faltas de futsal, filtro de cronômetro da equipe e ícone de natação"
2026-05-22;"Recurso: corrija tempos e voltas com configuração dinâmica do Laravel Reverb e UI F1 premium"
2026-05-22;"Recurso: organizar campeonatos por etapa/eliminatória, refatorar MatchDetailsModal e AdminMatchManager em subcomponentes"
2026-05-15;"novidade"
2026-05-15;"novidade"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-14;"novidade"
2026-05-13;"Recurso: Temporizador global para lançamento em lote de voltas/distância"
2026-05-13;"Recurso: Implementar gerenciamento de campeonato multiformato, incluindo formato de voltas"
2026-05-13;"Recurso: cronômetro unificado de equipe/individual e modais de tempo manual com sincronização automática com os resultados da corrida"
2026-05-12;"Recurso: Finalizar a API do portal do cliente seguro e os endpoints de entrega de arquivos"
2026-05-12;"Recurso: Adicionar API do Portal do Cliente autenticada por token seguro para exe de auditoria"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-05-12;"novidade"
2026-04-30;"Recurso: adicione suporte WebP à geração de arte"
2026-04-26;"novidade"
2026-04-25;"novidade"
2026-04-25;"novidade"
2026-04-23;"novidade"
2026-04-22;"novidade"
2026-04-22;"novidade"
2026-04-16;"novidade"
2026-04-16;"novidade"
2026-04-15;"novidade"
2026-04-15;"novidade"
2026-04-10;"novidade"
2026-04-10;"novidade"
2026-03-31;"adicionar perna pau"
2026-03-17;"Recurso: adicionar relatório de kit de produtos para campeonatos individuais com contagens de variantes"
2026-03-17;"Recurso: mostrar detalhamento de pagamento com descontos e cupons"
2026-03-17;"Recurso: adicionar filtragem de categoria e detalhamento de receita"
2026-03-10;"adicionar webhook tk"
2026-03-10;"adicionar opção de compra"
2026-03-09;"adicionar logs de front-end"
2026-03-04;"Recurso: adicionar suporte a 3 fotos no modal de add jogador do líder"
2026-03-04;"adicionar botão de download à foto do perfil do jogador"
2026-03-02;"Recurso: implementação exclusão/anonimização de conta para conformidade Google Play"
2026-02-28;"Adicionar página de Política de Privacidade e corrigir caminho do Android SDK do front-end raiz"
2026-02-27;"Recurso: Zerar cronômetro de partida em novos períodos de partidas offline de Futebol e Futebol7"
2026-02-27;"Recurso: Adicione resiliência offline ao BasqueteVoz, Handebol, Tenis e atualize o link da Agenda"
2026-02-26;"Recurso(EventController): adicionar pontos finais de detalhamento de estatísticas de 3 e 2 pontos para estatísticas de basquete"
2026-02-26;"Recurso(tenis): integre resiliência offline para rastreamento de pontos e definição de acabamento"
2026-02-26;"Recurso(volley): implementar botões MVP/Finish Match na sumula do Volley, melhorar o tamanho da exibição dos conjuntos e inverter o placar automaticamente"
2026-02-26;"Recurso: correções na exibição da página pública da partida para vôlei"
2026-02-26;"Recurso: volei emojis específicos, nomes de linha do tempo e correção de sincronização do cronômetro de partida"
2026-02-26;"Recurso: ajuste a quebra automática do texto artístico para quebrar na barra e > 15 caracteres"
2026-02-26;"Recurso: quebra automática de texto inteligente para nomes longos de equipes no gerador de arte"
2026-02-26;"Tarefa: reverter sumula volei para 4b6bff1 e salvar atual como atual"
2026-02-25;"Recurso: adicionar URL de front-end coolify às origens permitidas pelo CORS"
2026-02-25;"Recurso: compactação automática de imagens no frontend + limite de 4MB no backend"
2026-02-25;"Recurso: unifica botoes de cartao e craque na sumula (Futebol e Futebol7); Destaca-se contra a linha do tempo; UI morfismo de vidro escuro"
2026-02-25;"Recurso: implementar gancho de resiliência off-line universal em vários esportes, incluindo Futebol, Volei, F7, Futsal, Handebol e Futevolei"
2026-02-25;"Recurso: implementar gancho de resiliência off-line universal em vários esportes, incluindo Futebol, Volei, F7, Futsal, Handebol e Futevolei"
2026-02-24;"Recurso(volei): adicionar tempo definido, troca lateral automática e auxiliares de rotação"
2026-02-24;"Recurso: exibição de elencos e detalhes de falhas em auditorias"
2026-02-24;"Recurso: suporte massivo a gírias de basquete e confortável de comandos"
2026-02-24;"Recurso: melhoria robusta no reconhecimento de jogadores (nome e número por extenso)"
2026-02-24;"Recurso: auditório de voz e controle de cronômetro no admin"
2026-02-24;"Recurso: registra detalhes de voz e controle de tempo na súmula"
2026-02-24;"Recurso: histórico de eventos com exclusão e controle de quartos na soma de voz"
2026-02-24;"Recurso: melhorias na súmula de basquete por voz, cronômetro e lista de jogadores"
2026-02-23;"Recurso: apontador de voz de basquete com suporte a capacitor nativo"
2026-02-23;"Recurso: sincronize comandos de voz de basquete e detalhes públicos de partidas com eventos esportivos específicos"
2026-02-23;"Recurso: refinamentos de UI premium, substitutos de logotipo e correções de layout móvel"
2026-02-20;"Recurso: modal público com pílulas coloridas, frases por tipo e badge de time no mobile"
2026-02-20;"Recurso: frases poliesportivas, ordenação fases, filtro por rodada, fonte pílula suplementar"
2026-02-20;"Recurso: atualização de back-end"
2026-02-19;"Recurso(frontend): evitar suspensão da tela na súmula e melhorar a lógica de falta para futsal/sociedade"
2026-02-18;"adicionar guia de solução de problemas de upload"
2026-02-18;"Recurso: upload do player com remoção de fundo e melhorias no formulário"
2026-02-16;"Recurso: Adicionar evento de falta à ficha de jogo de futebol"
2026-02-16;"Recurso: Geração de arte por campeonato e edição de jogador no contexto da equipe"
2026-02-16;"Recurso(frontend): adicione registros para depurar atualização da foto do perfil"
2026-02-13;"adicionar modais de visualização de arte em tela cheia e logs de depuração"
2026-02-13;"adicionar visualização do editor de esportes"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
2026-02-13;"adicionar módulo total pessoal"
