Data;Alterações
2026-07-13;"fix(register): normalize CPF and birth date formats and make error response handling robust"
2026-07-12;"feat: permitir ao lider editar dados do time (nome, cidade e logo)"
2026-07-12;"fix: drop both foreign keys before dropping unique index to avoid index dependency issue"
2026-07-12;"fix: add checks to safely drop constraint and key in mvp_votes migration"
2026-07-12;"fix: split schema operations into separate calls in mvp_votes migration"
2026-07-12;"fix: drop foreign key constraint before unique constraint in mvp_votes migration"
2026-07-12;"feat: add MVP voting, match operations and sumula validations"
2026-07-01;"Adicionar aviso de 4ª e 5ª falta na súmula de futsal"
2026-06-18;"fix(frontend): disable autofill/autocomplete on player registration forms"
2026-06-17;"fix: set team captain during registration and parse fromChampionshipId in frontend"
2026-06-17;"feat(championship): add option to set custom rounds count and preview games per round before generating"
2026-06-16;"fix(auth): remove reliance on teams.captain_id, check championship_team instead"
2026-06-15;"feat(championship): remove double elimination format option and improve format explanations"
2026-06-15;"feat(team): remove default global captain from TeamForm to enforce context-based leadership"
2026-06-15;"perf(docker): optimize Dockerfile build caching for composer dependencies"
2026-06-15;"fix: add password field to player modal, respect base general context, and fix manual cascade deletion to prevent FK errors"
2026-06-03;"fix(futsal): update timeout/foul rules and simplify round types for timing championships"
2026-06-02;"feat(voice): enhance basketball voice sumula player matching and team identification"
2026-06-02;"feat: permitir copiar elenco de outros campeonatos com pre-visualizacao de jogadores"
2026-05-28;"feat: use sport.category_type database column in React frontend for robust timing sport classification"
2026-05-28;"style: rename Individuais / Atletismo to Individuais in ArtEditor selection"
2026-05-28;"feat: dynamically filter sports and championships inside ArtEditor based on chosen mode"
2026-05-28;"style: prioritize laps as primary metric for individual lap championships"
2026-05-28;"fix: resolve public individual race results api route and frontend query"
2026-05-28;"fix(basketball-voice): treat ellipsis, colons, and periods as points in speech-to-text"
2026-05-27;"fix: auto-select first match and display battery dropdown in timing screen"
2026-05-27;"fix: resolve public times display and match details blank screen for collective races"
2026-05-27;"fix: mover declaração de expandedTeams para o topo do MatchDetailsModal corrigindo erro TDZ de inicialização"
2026-05-27;"fix: corrigir cores de voltas, cálculo de melhor volta e adicionar linha do tempo agrupada por atleta nos resultados públicos"
