﻿Data;Alterações
2026-07-13;"Correção(register): normalizar os formatos de CPF e data de nascimento e tornar robusto o tratamento de respostas a erros"
2026-07-12;"Recurso: permitir ao líder editar dados do time (nome, cidade e logo)"
2026-07-12;"Correção: elimine ambas as chaves estrangeiras antes de eliminar o índice exclusivo para evitar problemas de dependência do índice"
2026-07-12;"Correção: adicione verificações para eliminar restrições e chaves com segurança na migração mvp_votes"
2026-07-12;"Correção: dividir operações de esquema em chamadas separadas na migração mvp_votes"
2026-07-12;"Correção: eliminar a restrição de chave estrangeira antes da restrição exclusiva na migração mvp_votes"
2026-07-12;"Recurso: adicione votação MVP, operações de correspondência e validações de sumula"
2026-07-01;"Adicionar aviso de 4ª e 5ª falta na súmula de futsal"
2026-06-18;"Correção(frontend): desativar preenchimento automático/preenchimento automático em formulários de registro de jogadores"
2026-06-17;"Correção: definir o capitão da equipe durante o registro e analisar fromChampionshipId no frontend"
2026-06-17;"Recurso(championship): adicionar opção para definir contagem de rodadas personalizadas e visualizar jogos por rodada antes de gerar"
2026-06-16;"Correção(auth): remova a dependência de times.captain_id, verifique Championship_team"
2026-06-15;"Recurso(championship): remova a opção de formato de eliminação dupla e melhore as explicações de formato"
2026-06-15;"Recurso(team): remova o capitão global padrão do TeamForm para impor liderança baseada no contexto"
2026-06-15;"Desempenho(docker): otimizar o cache de compilação do Dockerfile para dependências do compositor"
2026-06-15;"Correção: adicione o campo de senha ao modal do player, respeite o contexto geral base e corrija a exclusão manual em cascata para evitar erros de FK"
2026-06-03;"Correção(futsal): atualizar as regras de tempo limite/falta e simplificar os tipos de rodadas para campeonatos de cronometragem"
2026-06-02;"Recurso(voice): melhorar a correspondência de jogadores de sumula de voz de basquete e identificação de equipe"
2026-06-02;"Recurso: permitir copiar elenco de outros campeonatos com pré-visualização de jogadores"
2026-05-28;"Recurso: use a coluna do banco de dados sport.category_type no frontend do React para uma classificação esportiva de tempo robusta"
2026-05-28;"Estilo: renomear Individuais/Atletismo para Individuais na seleção do ArtEditor"
2026-05-28;"Recurso: filtrar dinamicamente esportes e campeonatos dentro do ArtEditor com base no modo escolhido"
2026-05-28;"Estilo: priorizar voltas como métrica primária para campeonatos de voltas individuais"
2026-05-28;"Correção: resolver rota de API de resultados de corrida individual pública e consulta de front-end"
2026-05-28;"Correção(basketball-voice): tratar reticências, dois pontos e pontos como pontos na conversão de fala em texto"
2026-05-27;"Correção: selecione automaticamente a primeira partida e exiba o menu suspenso da bateria na tela de cronometragem"
2026-05-27;"Correção: resolver exibição de horários públicos e tela em branco de detalhes da partida para corridas coletivas"
2026-05-27;"Correção: mover declaração de expandedTeams para o topo do MatchDetailsModal corrigindo erro TDZ de inicialização"
2026-05-27;"Correção: corrija cores de voltas, cálculo de melhor volta e adicione linha do tempo agrupada por atleta nos resultados públicos"
2026-05-27;"Recurso: restaurar listagem e marcação de voltas por atleta com filtro de equipes nos temporizadores"
2026-05-26;"configurações adicionar"
